ts,home_id,day,p_cons,p_prod,p_tot
2023-01-13 07:15:00+01:00,CDB005,2023-01-13,442.63839517320906,0.0,442.63839517320906
2023-01-13 07:30:00+01:00,CDB005,2023-01-13,350.9460198056381,0.0,350.9460198056381
2023-01-13 07:45:00+01:00,CDB005,2023-01-13,225.7232153756278,0.0,225.7232153756278
2023-01-13 08:00:00+01:00,CDB005,2023-01-13,980.4902669180811,0.0,980.4902669180811
2023-01-13 08:15:00+01:00,CDB005,2023-01-13,173.9178567613874,0.0,173.9178567613874
2023-01-13 08:30:00+01:00,CDB005,2023-01-13,207.91327511947767,0.0,207.91327511947767
2023-01-13 08:45:00+01:00,CDB005,2023-01-13,240.34017780848913,0.0,240.34017780848913
2023-01-13 09:00:00+01:00,CDB005,2023-01-13,286.81415996720307,0.0,286.81415996720307
2023-01-13 09:15:00+01:00,CDB005,2023-01-13,277.5919645854405,0.0,277.5919645854405
2023-01-13 09:30:00+01:00,CDB005,2023-01-13,347.70176912830993,0.0,347.70176912830993
2023-01-13 09:45:00+01:00,CDB005,2023-01-13,235.60357161930628,0.0,235.60357161930628
2023-01-13 10:00:00+01:00,CDB005,2023-01-13,225.44159327144118,0.0,225.44159327144118
2023-01-13 10:15:00+01:00,CDB005,2023-01-13,248.86071395874023,0.0,248.86071395874023
2023-01-13 10:30:00+01:00,CDB005,2023-01-13,451.0424743922411,0.0,451.0424743922411
2023-01-13 10:45:00+01:00,CDB005,2023-01-13,356.55089160374234,0.0,356.55089160374234
2023-01-13 11:00:00+01:00,CDB005,2023-01-13,781.1194676762134,0.0,781.1194676762134
2023-01-13 11:15:00+01:00,CDB005,2023-01-13,249.41785730634416,0.0,249.41785730634416
2023-01-13 11:30:00+01:00,CDB005,2023-01-13,189.89823116876383,0.0,189.89823116876383
2023-01-13 11:45:00+01:00,CDB005,2023-01-13,204.35267884390694,0.0,204.35267884390694
2023-01-13 12:00:00+01:00,CDB005,2023-01-13,231.35044185672186,0.0,231.35044185672186
2023-01-13 12:15:00+01:00,CDB005,2023-01-13,140.20624950953894,0.0,140.20624950953894
2023-01-13 12:30:00+01:00,CDB005,2023-01-13,183.8486730524924,0.0,183.8486730524924
2023-01-13 12:45:00+01:00,CDB005,2023-01-13,189.88928576878138,0.0,189.88928576878138
2023-01-13 13:00:00+01:00,CDB005,2023-01-13,228.73185946034118,0.0,228.73185946034118
2023-01-13 13:15:00+01:00,CDB005,2023-01-13,240.95714282989502,0.0,240.95714282989502
2023-01-13 13:30:00+01:00,CDB005,2023-01-13,211.775221427985,0.0,211.775221427985
2023-01-13 13:45:00+01:00,CDB005,2023-01-13,132.4964282853263,0.0,132.4964282853263
2023-01-13 14:00:00+01:00,CDB005,2023-01-13,240.49026489257812,0.0,240.49026489257812
2023-01-13 14:15:00+01:00,CDB005,2023-01-13,438.93214198521207,0.0,438.93214198521207
2023-01-13 14:30:00+01:00,CDB005,2023-01-13,249.0115041817184,0.0,249.0115041817184
2023-01-13 14:45:00+01:00,CDB005,2023-01-13,224.87410667964392,0.0,224.87410667964392
2023-01-13 15:00:00+01:00,CDB005,2023-01-13,251.69115103662543,0.0,251.69115103662543
2023-01-13 15:15:00+01:00,CDB005,2023-01-13,215.33035673413957,0.0,215.33035673413957
2023-01-13 15:30:00+01:00,CDB005,2023-01-13,210.56902644064573,0.0,210.56902644064573
2023-01-13 15:45:00+01:00,CDB005,2023-01-13,244.76249953678675,0.0,244.76249953678675
2023-01-13 16:00:00+01:00,CDB005,2023-01-13,235.49823038556934,0.0,235.49823038556934
2023-01-13 16:15:00+01:00,CDB005,2023-01-13,174.71517876216345,0.0,174.71517876216345
2023-01-13 16:30:00+01:00,CDB005,2023-01-13,270.23185838007294,0.0,270.23185838007294
2023-01-13 16:45:00+01:00,CDB005,2023-01-13,316.5250004359654,0.0,316.5250004359654
2023-01-13 17:00:00+01:00,CDB005,2023-01-13,367.1955771657218,0.0,367.1955771657218
2023-01-13 17:15:00+01:00,CDB005,2023-01-13,354.1991070338658,0.0,354.1991070338658
2023-01-13 17:30:00+01:00,CDB005,2023-01-13,380.10000016204026,0.0,380.10000016204026
2023-01-13 17:45:00+01:00,CDB005,2023-01-13,392.08839225769043,0.0,392.08839225769043
2023-01-13 18:00:00+01:00,CDB005,2023-01-13,498.27522075281735,0.0,498.27522075281735
2023-01-13 18:15:00+01:00,CDB005,2023-01-13,373.6383925846645,0.0,373.6383925846645
2023-01-13 18:30:00+01:00,CDB005,2023-01-13,366.91415702347206,0.0,366.91415702347206
2023-01-13 18:45:00+01:00,CDB005,2023-01-13,503.4169652121408,0.0,503.4169652121408
2023-01-13 19:00:00+01:00,CDB005,2023-01-13,342.55221422583656,0.0,342.55221422583656
2023-01-13 19:15:00+01:00,CDB005,2023-01-13,357.1044657570975,0.0,357.1044657570975
2023-01-13 19:30:00+01:00,CDB005,2023-01-13,294.31150466783913,0.0,294.31150466783913
2023-01-13 19:45:00+01:00,CDB005,2023-01-13,297.0089270727975,0.0,297.0089270727975
2023-01-13 20:00:00+01:00,CDB005,2023-01-13,321.32300803935635,0.0,321.32300803935635
2023-01-13 20:15:00+01:00,CDB005,2023-01-13,305.77857181004117,0.0,305.77857181004117
2023-01-13 20:30:00+01:00,CDB005,2023-01-13,295.44513290540306,0.0,295.44513290540306
2023-01-13 20:45:00+01:00,CDB005,2023-01-13,264.81249863760814,0.0,264.81249863760814
2023-01-13 21:00:00+01:00,CDB005,2023-01-13,187.75044277494987,0.0,187.75044277494987
2023-01-13 21:15:00+01:00,CDB005,2023-01-13,247.46607058388847,0.0,247.46607058388847
2023-01-13 21:30:00+01:00,CDB005,2023-01-13,238.00353895879425,0.0,238.00353895879425
